0,177881
1,160892
2,123160
3,93210
4,72022
5,56165
6,45091
7,36696
8,30655
9,25969
10,22274
11,18848
12,16360
13,13677
14,11919
15,10461
16,9240
17,8669
18,8136
19,7769
20,7520
21,6606
22,5972
23,5071
24,4392
25,3438
26,2914
27,2547
28,2186
29,2065
30,2108
31,2197
32,2350
33,2278
34,2631
35,2607
36,2624
37,2606
38,2422
39,2152
40,2034
41,1821
42,1571
43,1329
44,1083
45,887
46,679
47,544
48,373
49,328
50,283
51,274
52,208
53,266
54,267
55,287
56,324
57,416
58,459
59,467
60,542
61,603
62,643
63,694
64,720
65,761
66,777
67,765
68,711
69,748
70,665
71,669
72,616
73,565
74,504
75,437
76,396
77,323
78,333
79,236
80,245
81,155
82,146
83,94
84,67
85,63
86,59
87,48
88,39
89,25
90,17
91,6
92,14
93,10
94,9
95,12
96,12
97,8
98,16
99,13
100,12
101,24
102,27
103,37
104,55
105,53
106,59
107,72
108,75
109,75
110,74
111,110
112,103
113,118
114,141
115,139
116,141
117,163
118,180
119,150
120,160
121,174
122,194
123,199
124,189
125,171
126,168
127,148
128,161
129,146
130,155
131,127
132,110
133,115
134,100
135,100
136,87
137,62
138,71
139,50
140,40
141,29
142,28
143,29
144,24
145,27
146,19
147,15
148,17
149,8
150,7
151,10
152,4
153,4
154,8
155,1
156,3
157,2
158,2
159,1
160,1
161,2
162,1
165,1
166,1
177,1
180,2
183,1
184,2
185,5
188,3
189,1
190,3
191,5
192,2
193,3
194,1
195,11
196,3
197,7
198,7
199,8
200,9
201,12
202,16
203,12
204,13
205,17
206,18
207,16
208,18
209,22
210,23
211,16
212,18
213,28
214,29
215,25
216,24
217,29
218,26
219,27
220,38
221,38
222,29
223,40
224,28
225,35
226,40
227,27
228,28
229,21
230,20
231,31
232,29
233,28
234,35
235,21
236,24
237,10
238,17
239,10
240,14
241,9
242,12
243,18
244,5
245,7
246,4
247,5
248,7
249,9
250,5
251,4
252,4
253,1
254,3
255,4
256,3
257,1
258,1
259,1
260,3
261,4
264,2
265,1
266,1
349,1
350,1
352,1
357,2
358,2
360,1
361,1
362,1
363,2
365,2
366,4
367,1
368,2
370,1
371,3
373,2
374,2
375,1
376,6
377,3
378,4
379,1
380,4
381,1
382,4
383,4
385,3
386,2
387,3
388,2
389,6
390,4
391,3
392,5
393,7
394,3
395,1
396,3
397,2
398,3
399,4
400,5
401,2
402,4
403,3
404,3
405,7
406,3
407,1
408,5
409,5
410,6
411,2
412,4
414,1
415,1
416,1
418,3
419,5
420,3
421,1
422,1
423,1
425,1
428,2
429,2
430,1
433,3
438,1
439,1
440,1
443,2
445,1
623,1
646,1
651,1
662,1
663,1
665,1
672,1
673,2
679,1
683,1
689,1
690,1
693,2
694,1
707,1
709,1
719,1
762,1
1181,1
